Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,year
509,Branden Carlson,25,OKC,C,18,0,5.8,1.0,2.1,.474,0.7,1.7,.433,0.3,0.4,.625,.645,0.1,0.1,1.000,0.3,1.2,1.4,0.3,0.1,0.3,0.1,0.7,2.8,,2025
510,Mason Jones,26,SAC,SG,5,0,5.6,1.2,2.4,.500,0.2,1.2,.167,1.0,1.2,.833,.542,0.2,0.4,.500,0.4,1.2,1.6,1.8,0.0,0.0,0.2,0.2,2.8,,2025
511,A.J. Lawson,24,TOR,SG,4,0,3.8,1.0,2.0,.500,0.5,1.3,.400,0.5,0.8,.667,.625,0.3,0.8,.333,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.0,2.8,,2025
512,AJ Johnson,20,2TM,SG,10,0,7.0,1.1,2.7,.407,0.4,1.0,.400,0.7,1.7,.412,.481,0.1,0.2,.500,0.0,0.9,0.9,1.2,0.1,0.0,0.5,0.5,2.7,,2025
513,AJ Johnson,20,MIL,SG,7,0,6.3,1.1,2.7,.421,0.4,0.7,.600,0.7,2.0,.357,.500,0.1,0.3,.500,0.0,1.0,1.0,1.0,0.1,0.0,0.6,0.0,2.9,,2025
514,AJ Johnson,20,WAS,SG,3,0,8.7,1.0,2.7,.375,0.3,1.7,.200,0.7,1.0,.667,.438,0.0,0.0,,0.0,0.7,0.7,1.7,0.0,0.0,0.3,1.7,2.3,,2025
515,Drew Peterson,25,BOS,PF,14,0,9.1,0.9,1.8,.480,0.6,1.4,.421,0.3,0.4,.667,.640,0.4,0.5,.857,0.4,1.6,1.9,0.8,0.1,0.1,0.4,0.9,2.7,,2025
516,Kobe Brown,25,LAC,PF,23,0,7.6,1.1,2.3,.500,0.2,0.8,.222,1.0,1.5,.647,.538,0.2,0.2,.800,0.7,1.4,2.0,0.7,0.1,0.1,0.3,0.7,2.6,,2025
517,John Konchar,28,MEM,SG,29,3,13.0,1.0,2.3,.424,0.5,1.6,.326,0.4,0.7,.650,.538,0.2,0.2,.833,0.9,2.7,3.6,1.0,0.5,0.4,0.3,0.9,2.6,,2025
518,Zeke Nnaji,24,DEN,PF,34,2,8.3,1.1,2.2,.493,0.2,0.8,.222,0.9,1.4,.646,.533,0.3,0.4,.600,0.4,1.0,1.4,0.3,0.3,0.4,0.2,0.9,2.6,,2025
519,E.J. Liddell,24,CHI,PF,6,0,5.2,0.8,1.3,.625,0.5,1.0,.500,0.3,0.3,1.000,.813,0.3,0.3,1.000,0.2,0.7,0.8,0.5,0.2,0.2,0.3,1.3,2.5,,2025
520,Josh Minott,22,MIN,SF,33,0,6.8,1.0,2.2,.451,0.2,0.9,.226,0.8,1.2,.625,.500,0.3,0.4,.846,0.3,0.8,1.1,0.4,0.4,0.3,0.2,0.8,2.5,,2025
521,Jackson Rowe,28,GSW,PF,4,0,8.5,1.0,3.0,.333,0.5,2.3,.222,0.5,0.8,.667,.417,0.0,0.5,.000,0.0,1.8,1.8,0.8,0.8,0.0,0.0,1.0,2.5,,2025
522,Delon Wright,32,2TM,PG,27,2,15.1,0.8,3.0,.268,0.4,1.8,.245,0.4,1.2,.303,.341,0.3,0.6,.563,0.6,1.1,1.7,1.8,0.9,0.3,0.5,0.6,2.4,,2025
523,Delon Wright,32,MIL,PG,26,2,15.6,0.8,3.2,.268,0.5,1.9,.245,0.4,1.3,.303,.341,0.3,0.6,.563,0.6,1.2,1.8,1.8,0.9,0.3,0.5,0.7,2.5,,2025
524,Delon Wright,32,NYK,PG,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025
525,Johnny Davis,22,WAS,SG,34,0,7.1,0.9,2.3,.410,0.2,0.9,.241,0.7,1.4,.510,.455,0.3,0.4,.600,0.3,0.8,1.1,0.3,0.4,0.2,0.2,0.5,2.4,,2025
526,Trey Jemison,25,2TM,C,23,0,9.8,1.0,2.0,.511,0.0,0.0,,1.0,2.0,.511,.511,0.4,1.1,.360,1.1,1.6,2.7,0.5,0.3,0.4,0.6,1.9,2.4,,2025
527,Trey Jemison,25,NOP,C,16,0,10.4,0.9,2.0,.469,0.0,0.0,,0.9,2.0,.469,.469,0.5,1.3,.381,1.4,1.4,2.8,0.6,0.4,0.4,0.6,1.7,2.4,,2025
528,Trey Jemison,25,LAL,C,7,0,8.6,1.1,1.9,.615,0.0,0.0,,1.1,1.9,.615,.615,0.1,0.6,.250,0.6,2.0,2.6,0.3,0.1,0.6,0.6,2.3,2.4,,2025
529,Rayan Rupert,20,POR,SG,37,0,7.9,0.9,2.1,.405,0.3,1.0,.278,0.6,1.2,.512,.468,0.4,0.5,.722,0.6,0.6,1.2,0.4,0.2,0.1,0.5,0.5,2.4,,2025
